bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0014,0.06491153,66.6,65.56,68.82
0015,0.05696963,58.45,57.54,60.99
0017,0.10545297,108.19,106.51,108.76
0052,0.04821831,49.47,48.7,52.37
0053,0.06504641,66.74,65.7,68.95
0054,0.07759286,79.61,78.37,81.31
0055,0.06902794,70.82,69.72,72.87
0056,0.05374333,55.14,54.28,57.81
0060,0.07799299,80.02,78.77,81.7
0064,0.05579333,57.24,56.35,59.83
0065,0.06388986,65.55,64.53,67.81
0067,0.06185487,63.46,62.47,65.8
0069,0.06125778,62.85,61.87,65.22
0070,0.06709313,68.84,67.76,70.97
0072,0.05311204,54.49,53.64,57.19
0074,0.05210722,53.46,52.63,56.2
0075,0.06595079,67.67,66.61,69.84
0076,0.0682034,69.98,68.89,72.06
0078,0.05991377,61.47,60.51,63.89
0083,0.05605369,57.51,56.61,60.09
0084,0.08187729,84.01,82.7,85.53
0086,0.09709218,99.62,98.06,100.52
0087,0.07291569,74.81,73.64,76.7
0089,0.05261493,53.98,53.14,56.7
0090,0.05683808,58.32,57.41,60.86
0092,0.07252097,74.41,73.25,76.31
0093,0.06243453,64.06,63.06,66.38
0094,0.08223785,84.38,83.06,85.89
0095,0.05074737,52.07,51.25,54.86
0096,0.06950121,71.31,70.2,73.34
0097,0.07486588,76.81,75.61,78.62
0099,0.06382934,65.49,64.47,67.75
0104,0.0600843,61.65,60.69,64.06
0113,0.14475394,148.52,146.2,147.48
0114,0.07071739,72.56,71.42,74.54
0115,0.05774695,59.25,58.32,61.76
0116,0.05514646,56.58,55.7,59.2
0118,0.07186894,73.74,72.59,75.67
0119,0.05061847,51.93,51.12,54.73
0121,0.06549708,67.2,66.15,69.39
0125,0.08357412,85.75,84.41,87.2
0127,0.07709419,79.1,77.87,80.82
0134,0.06439613,66.07,65.04,68.31
0136,0.0533171,54.7,53.85,57.39
0143,0.05234538,53.71,52.87,56.44
0158,0.06016718,61.73,60.77,64.14
0160,0.04991428,51.21,50.41,54.04
0161,0.05713007,58.62,57.7,61.15
0163,0.06111329,62.7,61.72,65.07
0166,0.07178931,73.66,72.51,75.59
0174,0.08308743,85.25,83.92,86.72
0175,0.05650399,57.97,57.07,60.53
0176,0.09650703,99.02,97.47,99.94
0182,0.05632739,57.79,56.89,60.36
0183,0.06063048,62.21,61.24,64.6
0185,0.05970712,61.26,60.3,63.69
0189,0.0624273,64.05,63.05,66.37
0192,0.06628875,68.01,66.95,70.17
0195,0.04631311,47.52,46.78,50.49
0203,0.05406744,55.47,54.61,58.13
0208,0.04824873,49.5,48.73,52.4
0210,0.06708396,68.83,67.75,70.96
0213,0.0901962,92.54,91.1,93.73
0214,0.05733715,58.83,57.91,61.35
0216,0.06176808,63.37,62.39,65.72
0219,0.06981496,71.63,70.51,73.65
0222,0.06684744,68.59,67.52,70.72
0224,0.05711615,58.6,57.69,61.14
0225,0.0587094,60.24,59.3,62.71
0226,0.08980775,92.14,90.71,93.34
0231,0.06323775,64.88,63.87,67.17
0233,0.0649311,66.62,65.58,68.84
0235,0.07594565,77.92,76.71,79.69
0236,0.06773281,69.49,68.41,71.6
0239,0.07540271,77.36,76.16,79.15
0241,0.05869006,60.22,59.28,62.69
0243,0.05451651,55.93,55.06,58.57
0244,0.05487293,56.3,55.42,58.93
0249,0.05422456,55.63,54.77,58.29
0252,0.07299684,74.89,73.73,76.78
0254,0.07141743,73.27,72.13,75.23
0256,0.05868271,60.21,59.27,62.68
0257,0.06370849,65.36,64.35,67.63
0258,0.06209718,63.71,62.72,66.04
0260,0.05753579,59.03,58.11,61.55
0265,0.06059091,62.17,61.2,64.56
0268,0.07161533,73.48,72.33,75.42
0269,0.08499475,87.2,85.84,88.6
0270,0.06810063,69.87,68.78,71.96
0277,0.06100898,62.6,61.62,64.97
0283,0.05720865,58.7,57.78,61.23
0286,0.0681176,69.89,68.8,71.97
