bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0001,0.15633839,160.4,157.9,158.89
0002,0.10111781,103.75,102.13,104.49
0007,0.09102187,93.39,91.93,94.54
0008,0.08085318,82.96,81.66,84.52
0009,0.08844805,90.75,89.33,92.0
0012,0.07887593,80.93,79.66,82.57
0013,0.06399645,65.66,64.64,67.91
0016,0.07330134,75.21,74.03,77.08
0024,0.08683698,89.09,87.71,90.42
0026,0.08226571,84.4,83.09,85.91
0027,0.07208137,73.96,72.8,75.88
0028,0.08744272,89.72,88.32,91.01
0029,0.06857518,70.36,69.26,72.43
0030,0.08147404,83.59,82.29,85.13
0047,0.07674024,78.74,77.51,80.47
0048,0.09379921,96.24,94.74,97.28
0049,0.07461055,76.55,75.36,78.37
0050,0.09514821,97.62,96.1,98.61
0051,0.06297581,64.61,63.61,66.91
0057,0.0774408,79.45,78.22,81.16
0058,0.07499973,76.95,75.75,78.76
0062,0.0708196,72.66,71.53,74.64
0063,0.1155698,118.57,116.73,118.73
0071,0.09024613,92.59,91.15,93.78
0073,0.09089102,93.25,91.8,94.41
0079,0.078096,80.13,78.88,81.81
0080,0.08504873,87.26,85.9,88.66
0081,0.09698205,99.5,97.95,100.41
0082,0.13610975,139.65,137.47,138.96
0085,0.07751502,79.53,78.29,81.23
0088,0.0741888,76.12,74.93,77.96
0098,0.06549375,67.2,66.15,69.39
0100,0.08943784,91.76,90.33,92.98
0103,0.11453026,117.51,115.68,117.7
0105,0.11097105,113.86,112.08,114.2
0106,0.08602885,88.27,86.89,89.62
0107,0.0789428,81.0,79.73,82.64
0108,0.08627254,88.52,87.14,89.86
0112,0.07892376,80.98,79.71,82.62
0117,0.0765992,78.59,77.37,80.33
0122,0.13920139,142.82,140.59,142.01
0123,0.09227817,94.68,93.2,95.78
0126,0.08098605,83.09,81.8,84.65
0128,0.09613572,98.64,97.1,99.58
0129,0.09393376,96.38,94.87,97.41
0130,0.06389987,65.56,64.54,67.82
0132,0.07439444,76.33,75.14,78.16
0133,0.09014015,92.48,91.04,93.67
0135,0.07595404,77.93,76.71,79.7
0137,0.08140291,83.52,82.22,85.06
0138,0.0980173,100.57,99.0,101.43
0139,0.08928554,91.61,90.18,92.83
0140,0.08898203,91.3,89.87,92.53
0142,0.07450621,76.44,75.25,78.27
0144,0.07572695,77.7,76.48,79.47
0145,0.06306755,64.71,63.7,67.0
0146,0.06898808,70.78,69.68,72.83
0147,0.0898556,92.19,90.75,93.39
0148,0.07570395,77.67,76.46,79.45
0149,0.08925436,91.57,90.15,92.8
0150,0.08298948,85.15,83.82,86.63
0151,0.08415018,86.34,84.99,87.77
0152,0.07402579,75.95,74.77,77.8
0154,0.06974765,71.56,70.45,73.58
0157,0.1098797,112.74,110.98,113.12
0159,0.07623539,78.22,77.0,79.97
0164,0.11395875,116.92,115.1,117.14
0165,0.07538102,77.34,76.13,79.13
0167,0.06613615,67.86,66.8,70.02
0168,0.10030885,102.92,101.31,103.69
0169,0.09085942,93.22,91.77,94.38
0170,0.07274266,74.63,73.47,76.53
0172,0.08665776,88.91,87.52,90.24
0173,0.09386833,96.31,94.81,97.35
0177,0.05749352,58.99,58.07,61.51
0178,0.08854346,90.85,89.43,92.1
0179,0.0900663,92.41,90.97,93.6
0180,0.0628239,64.46,63.45,66.76
0184,0.06921949,71.02,69.91,73.06
0186,0.07476641,76.71,75.51,78.53
0187,0.09002777,92.37,90.93,93.56
0188,0.09159747,93.98,92.51,95.11
0190,0.07958672,81.66,80.38,83.27
0193,0.07467123,76.61,75.42,78.43
0196,0.14245993,146.16,143.88,145.22
0197,0.07511668,77.07,75.87,78.87
0198,0.08039578,82.49,81.2,84.07
0199,0.10600542,108.76,107.07,109.3
0201,0.09727533,99.8,98.25,100.7
0204,0.07868493,80.73,79.47,82.39
0205,0.08760958,89.89,88.49,91.18
0206,0.08238098,84.52,83.2,86.03
0207,0.05856889,60.09,59.15,62.57
0209,0.07972848,81.8,80.53,83.41
0211,0.07857414,80.62,79.36,82.28
0212,0.08739907,89.67,88.27,90.97
0215,0.09888583,101.46,99.87,102.29
0217,0.12089042,124.03,122.1,123.97
0218,0.07257313,74.46,73.3,76.36
0220,0.11021806,113.08,111.32,113.45
0223,0.07728237,79.29,78.06,81.0
0227,0.0703234,72.15,71.03,74.15
0228,0.07184991,73.72,72.57,75.65
0229,0.08123258,83.34,82.04,84.9
0232,0.07079737,72.64,71.51,74.62
0234,0.06035322,61.92,60.96,64.33
0237,0.10198249,104.63,103.0,105.34
0238,0.07799423,80.02,78.77,81.71
0240,0.07063245,72.47,71.34,74.45
0242,0.07843174,80.47,79.22,82.14
0245,0.08625082,88.49,87.11,89.84
0246,0.0902211,92.57,91.12,93.75
0247,0.08530055,87.52,86.15,88.9
0250,0.120429,123.56,121.63,123.51
0251,0.07790393,79.93,78.68,81.62
0253,0.08038719,82.48,81.19,84.06
0255,0.06657038,68.3,67.24,70.45
0259,0.10189812,104.55,102.92,105.26
0261,0.06916113,70.96,69.85,73.0
0263,0.08115227,83.26,81.96,84.82
0264,0.0837015,85.88,84.54,87.33
0266,0.10699331,109.78,108.06,110.28
0267,0.10351774,106.21,104.55,106.85
0271,0.08840277,90.7,89.29,91.96
0272,0.09356807,96.0,94.5,97.05
0273,0.0656127,67.32,66.27,69.51
0274,0.07500783,76.96,75.76,78.76
0275,0.06782492,69.59,68.5,71.69
0276,0.07864822,80.69,79.43,82.35
0278,0.08694365,89.2,87.81,90.52
0279,0.06742317,69.18,68.1,71.29
0280,0.06395175,65.61,64.59,67.87
0281,0.08399825,86.18,84.84,87.62
0282,0.08582304,88.05,86.68,89.42
0285,0.08105057,83.16,81.86,84.72
0287,0.09323497,95.66,94.17,96.72
0289,0.10172208,104.37,102.74,105.08
0293,0.09814337,100.7,99.12,101.56
0295,0.07747361,79.49,78.25,81.19
0297,0.09500017,97.47,95.95,98.46
0299,0.07750181,79.52,78.28,81.22
0300,0.07559004,77.56,76.35,79.34
0301,0.0730033,74.9,73.73,76.79
0303,0.08800831,90.3,88.89,91.57
0305,0.06799577,69.76,68.68,71.85
0306,0.12589285,129.17,127.15,128.9
0311,0.07866631,80.71,79.45,82.37
0313,0.08930726,91.63,90.2,92.85
0314,0.07554781,77.51,76.3,79.3
0315,0.08868154,90.99,89.57,92.24
0316,0.08760584,89.88,88.48,91.18
0318,0.07549312,77.46,76.25,79.24
0319,0.0913946,93.77,92.31,94.91
0320,0.0769551,78.96,77.72,80.68
0330,0.08308065,85.24,83.91,86.72
0373,0.08084574,82.95,81.65,84.52
0388,0.09297081,95.39,93.9,96.46
0389,0.10554352,108.29,106.6,108.85
0390,0.07984352,81.92,80.64,83.53
0391,0.07980067,81.88,80.6,83.49
0394,0.07949008,81.56,80.28,83.18
0395,0.08403434,86.22,84.87,87.66
0396,0.07943257,81.5,80.23,83.12
0397,0.09463562,97.1,95.58,98.1
0398,0.07721638,79.22,77.99,80.94
0403,0.10216547,104.82,103.19,105.52
0405,0.09761325,100.15,98.59,101.03
0410,0.06730369,69.05,67.98,71.17
0411,0.08425418,86.44,85.1,87.87
0415,0.09677763,99.29,97.75,100.21
0419,0.06772612,69.49,68.4,71.59
0420,0.06974346,71.56,70.44,73.58
0421,0.07586451,77.84,76.62,79.61
0422,0.08344609,85.62,84.28,87.08
0424,0.09822646,100.78,99.21,101.64
0425,0.06249371,64.12,63.12,66.43
0426,0.09236517,94.77,93.29,95.86
0427,0.07488204,76.83,75.63,78.64
0428,0.08882655,91.14,89.71,92.38
0429,0.08285786,85.01,83.69,86.5
0430,0.10541995,108.16,106.47,108.73
0431,0.11281421,115.75,113.94,116.01
0432,0.08652694,88.78,87.39,90.11
0433,0.09050741,92.86,91.41,94.03
0435,0.07060683,72.44,71.31,74.43
0436,0.06497937,66.67,65.63,68.88
0437,0.11781917,120.88,119.0,120.94
0440,0.08317642,85.34,84.01,86.81
0441,0.0615061,63.11,62.12,65.46
0442,0.07278573,74.68,73.51,76.57
0443,0.07666402,78.66,77.43,80.4
0444,0.09380685,96.25,94.74,97.28
0445,0.11603294,119.05,117.19,119.18
0446,0.11127021,114.16,112.38,114.49
0447,0.07718585,79.19,77.96,80.91
0448,0.10522164,107.96,106.27,108.53
0449,0.06839062,70.17,69.07,72.24
0450,0.08871969,91.03,89.61,92.27
0451,0.08401557,86.2,84.86,87.64
0453,0.08506144,87.27,85.91,88.67
0454,0.09609361,98.59,97.05,99.54
0455,0.07648479,78.47,77.25,80.22
0456,0.09112583,93.5,92.04,94.64
0457,0.10235603,105.02,103.38,105.71
0460,0.07670087,78.7,77.47,80.43
0462,0.10138358,104.02,102.4,104.75
0463,0.07563512,77.6,76.39,79.38
0466,0.08866819,90.97,89.55,92.22
0467,0.06927286,71.07,69.97,73.11
0470,0.07927841,81.34,80.07,82.97
0471,0.10858011,111.4,109.67,111.84
0474,0.07308822,74.99,73.82,76.87
0478,0.06554515,67.25,66.2,69.44
0479,0.07138598,73.24,72.1,75.2
0481,0.0835225,85.69,84.36,87.15
0485,0.08067846,82.78,81.49,84.35
0486,0.08545007,87.67,86.3,89.05
0487,0.07797348,80.0,78.75,81.69
0488,0.08464391,86.84,85.49,88.26
0491,0.07641838,78.41,77.18,80.15
0492,0.10189964,104.55,102.92,105.26
0493,0.09682023,99.34,97.79,100.25
0494,0.10360123,106.29,104.64,106.93
0496,0.07006714,71.89,70.77,73.9
0497,0.05551451,56.96,56.07,59.56
0498,0.09769426,100.23,98.67,101.11
0500,0.08805152,90.34,88.93,91.61
0501,0.0911949,93.57,92.11,94.71
0502,0.05589413,57.35,56.45,59.93
