weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
81.5,177.6,43.6,107.4,93.3,97.9,115.1,61.0,39.1,37.3,22.2,29.9,17.5,14.5,60.0,27.3,87.7,50.1,41.9,25.9,58.3
72.6,170.2,42.0,102.1,87.0,94.4,111.9,57.2,37.1,35.7,22.0,28.9,16.7,14.1,56.4,25.4,85.1,43.2,43.0,25.3,56.8
92.9,173.5,43.4,112.0,96.4,105.4,127.6,68.5,40.9,41.2,23.0,35.7,18.0,16.7,60.4,26.8,85.4,47.2,43.6,26.7,57.3
79.4,165.5,44.6,111.4,85.7,99.1,115.5,60.4,39.3,39.5,23.0,31.8,17.6,14.8,55.0,24.9,76.9,46.1,39.5,26.2,57.6
94.6,191.4,43.0,104.8,86.8,102.9,123.1,67.2,45.8,42.5,24.7,32.4,18.8,18.0,64.1,30.2,101.4,46.7,50.5,23.2,56.6
80.2,172.0,42.0,106.6,95.0,97.3,117.2,60.7,37.2,38.6,21.6,29.8,17.1,14.5,60.5,26.3,82.8,45.9,41.6,26.6,57.6
116.2,181.0,49.7,120.8,107.3,113.9,133.1,75.4,47.3,46.7,25.7,37.6,19.5,16.4,61.3,29.6,87.4,51.5,44.0,28.9,61.2
95.4,185.0,45.5,108.7,101.0,106.8,118.8,64.4,44.0,40.4,25.4,28.7,18.5,14.4,64.3,28.1,93.4,50.0,44.4,27.1,55.1
99.5,177.7,46.3,118.1,106.5,106.1,121.2,63.5,42.1,41.2,23.0,34.4,19.1,14.3,58.5,25.6,87.5,51.0,43.1,28.1,57.8
70.2,181.1,42.8,96.4,82.4,91.6,109.4,52.5,36.1,36.8,23.3,28.7,17.9,14.7,63.3,28.9,90.9,46.1,45.8,21.5,54.9
88.2,178.0,47.3,111.7,99.4,102.7,120.3,62.4,39.1,37.7,21.8,30.4,17.4,14.4,58.0,26.3,83.9,51.2,42.5,27.0,57.8
70.1,173.3,42.1,96.1,86.6,92.8,112.6,56.7,39.0,34.3,20.5,28.1,17.1,16.0,60.0,27.0,87.2,49.5,47.8,23.4,54.8
103.7,181.4,46.8,115.1,98.6,108.2,127.5,68.9,43.6,46.0,24.4,34.2,18.3,16.1,65.0,28.3,92.3,49.1,48.9,28.2,58.0
111.6,186.1,49.6,123.1,104.5,111.2,135.4,70.4,44.1,43.4,24.1,35.0,18.4,17.3,64.4,28.9,91.3,50.5,45.8,30.1,60.6
89.6,170.9,43.9,106.0,100.7,113.6,114.9,69.5,43.9,42.1,24.3,32.2,18.3,15.6,57.2,24.6,80.4,48.0,43.4,25.4,56.5
92.4,174.0,46.5,109.2,103.3,100.9,122.4,64.0,40.0,43.3,23.7,33.8,18.7,14.0,61.9,27.4,88.5,47.7,45.3,25.5,56.7
77.9,169.4,43.6,108.5,90.8,98.5,114.5,60.4,39.3,40.0,23.1,29.6,17.6,13.7,57.1,25.7,81.0,45.2,43.4,25.0,57.5
96.9,176.6,42.8,111.8,102.8,105.1,115.2,67.4,42.1,44.7,23.3,33.7,18.0,14.1,59.5,27.3,86.0,48.8,44.0,28.1,55.4
76.0,174.8,42.6,99.9,87.4,97.4,114.0,61.3,38.5,35.8,20.5,29.7,17.0,13.4,57.6,26.0,87.6,45.1,44.8,22.9,56.7
90.8,179.4,41.3,112.7,99.9,103.5,114.6,63.2,40.8,39.5,23.8,29.8,17.5,14.6,61.1,26.7,86.1,47.9,45.3,25.5,58.2
71.4,178.0,41.4,100.0,83.7,92.9,112.5,55.3,36.7,35.5,22.8,28.8,18.7,15.9,60.0,27.3,86.3,45.9,42.6,22.3,58.8
74.6,168.0,40.6,97.7,88.0,101.3,112.1,63.8,37.6,38.0,22.2,29.9,17.2,13.3,56.3,25.4,78.5,43.7,40.1,23.3,56.8
79.2,165.3,41.8,107.9,97.8,102.9,117.0,63.9,40.5,36.3,22.7,29.0,17.4,13.1,55.2,25.4,80.7,44.9,41.0,27.1,57.3
91.5,195.9,43.2,101.1,82.7,100.8,120.3,64.6,40.7,40.3,25.0,30.6,18.5,16.2,69.6,31.7,101.9,49.6,51.0,23.4,57.5
96.5,175.5,44.0,109.8,103.0,105.6,116.0,66.5,42.4,46.2,25.1,32.5,18.6,14.4,59.7,26.4,81.9,47.7,44.4,27.4,60.0
67.5,163.0,40.1,95.7,88.5,92.3,103.1,58.8,38.1,39.5,22.0,27.6,15.7,13.8,52.9,24.0,78.8,47.1,40.1,24.7,55.2
107.3,182.5,44.7,115.8,113.0,114.6,123.8,70.6,43.2,41.6,23.5,32.7,18.4,15.9,60.0,26.3,86.6,50.2,45.9,27.2,59.0
