weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
79.7,166.6,39.1,112.8,100.7,103.1,115.0,63.0,42.0,39.6,23.8,26.9,16.7,11.9,57.1,24.8,75.2,38.0,39.7,30.3,56.8
49.7,152.8,34.5,90.5,73.7,92.8,98.9,53.2,34.9,32.9,19.4,22.8,14.2,14.6,50.1,22.1,67.3,37.1,35.5,23.5,52.8
57.2,156.7,34.3,96.1,74.2,95.8,102.0,56.5,38.2,35.0,20.9,23.8,15.4,13.6,53.0,23.5,71.3,41.7,37.5,26.4,53.6
74.5,183.6,36.3,96.9,83.5,100.9,110.8,59.8,41.3,37.0,20.9,26.1,16.2,14.8,61.1,28.5,88.1,41.1,44.6,26.9,58.8
52.7,154.6,32.5,84.7,72.2,98.1,99.1,57.2,37.4,35.3,19.2,24.3,14.4,13.2,52.6,22.8,70.8,38.4,37.4,22.0,52.0
54.8,152.4,35.2,85.9,73.4,91.7,101.2,60.6,39.0,34.0,20.6,24.0,14.7,15.2,52.9,22.2,71.4,35.2,39.7,21.9,53.5
80.6,183.6,38.2,93.0,79.8,104.8,112.8,65.1,42.9,40.3,23.1,29.5,17.4,14.0,67.8,31.2,92.9,38.4,47.4,26.0,56.8
62.5,162.6,37.1,95.8,81.5,96.3,107.7,58.6,36.3,35.8,21.8,26.8,15.1,12.6,53.3,23.4,74.3,38.4,40.8,22.7,53.8
54.0,154.9,33.9,90.0,76.2,93.4,101.4,54.6,35.8,32.8,20.1,23.0,15.4,13.8,51.9,24.7,71.2,37.6,36.5,22.8,52.9
48.5,163.2,31.7,77.6,66.9,88.4,94.4,51.0,34.6,33.7,20.2,22.2,14.7,13.8,54.3,24.8,75.3,36.5,38.5,19.9,55.0
60.3,166.2,36.3,95.8,70.5,92.4,106.4,54.9,35.7,36.0,21.1,26.0,15.4,15.0,57.6,24.3,80.4,37.3,41.1,25.4,55.3
53.8,162.1,32.5,86.6,77.6,93.2,98.6,54.9,37.2,35.1,20.7,23.6,14.7,13.9,54.4,24.0,74.3,38.0,39.1,22.1,53.9
51.8,164.8,33.4,80.9,67.7,89.4,97.4,53.4,35.4,31.4,19.0,22.7,14.6,13.9,55.7,24.0,78.5,38.2,38.6,21.5,54.3
60.9,163.3,35.1,91.5,78.8,97.0,102.3,55.5,36.6,36.5,21.1,24.8,15.1,12.6,52.7,24.3,78.2,34.5,42.3,23.3,55.8
58.5,164.6,33.6,93.6,70.0,94.1,101.2,53.6,37.0,34.2,20.8,25.5,15.6,13.4,53.7,23.9,74.1,41.7,36.7,25.0,55.1
75.0,172.7,37.4,96.1,87.1,105.2,106.8,63.0,43.2,37.2,22.1,27.7,16.5,13.6,59.5,26.7,78.5,43.0,42.2,25.4,57.2
84.8,163.6,38.1,106.0,101.8,114.3,117.3,74.2,49.2,43.2,23.9,29.2,16.7,14.6,53.8,23.8,74.6,45.2,39.8,27.5,56.7
61.4,162.6,33.4,97.2,82.4,96.6,100.8,57.4,37.0,33.6,20.7,24.3,14.7,13.0,52.2,23.5,76.3,37.8,39.9,25.4,53.1
57.8,156.8,33.2,87.5,72.6,96.9,100.8,60.1,39.0,35.6,20.1,25.6,14.8,14.9,51.7,24.3,73.3,36.0,39.9,23.2,55.4
63.5,161.7,34.5,86.8,82.9,99.7,105.5,59.9,40.3,37.4,21.4,25.6,15.1,14.4,55.5,25.0,78.1,34.1,40.9,23.3,56.4
57.1,155.3,33.1,86.2,75.5,97.2,96.9,59.6,41.1,33.2,19.6,23.2,14.1,13.0,49.5,23.0,72.5,36.7,41.9,21.2,55.3
49.8,153.5,32.4,80.3,81.7,90.3,93.2,53.1,36.2,33.1,18.7,23.5,14.5,13.4,50.8,22.0,69.7,36.0,38.8,20.2,53.5
54.3,165.4,34.0,86.2,69.1,86.2,102.0,52.9,35.4,34.6,20.4,23.9,14.7,14.5,57.1,24.5,78.4,35.8,41.4,21.1,54.5
