weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
88.3,173.5,46.8,105.2,98.2,102.7,122.3,62.7,41.8,40.0,22.4,31.8,17.8,13.3,59.7,27.3,78.1,38.5,41.9,28.6,57.2
86.5,183.0,41.7,102.9,97.6,104.5,118.4,61.5,39.4,40.0,24.6,29.4,18.2,14.5,62.1,28.5,90.1,41.4,43.9,26.1,59.0
71.3,172.6,41.5,99.5,84.5,97.0,117.4,57.6,37.4,36.2,20.7,28.2,16.8,15.7,58.7,26.4,78.6,39.5,39.9,24.3,57.2
81.6,178.3,43.5,96.6,88.4,99.8,113.4,61.6,41.2,41.0,23.4,30.8,17.6,14.0,61.1,27.9,83.1,43.4,41.8,24.6,59.3
75.6,166.9,39.9,103.2,96.6,96.8,113.6,58.7,39.6,38.0,21.3,29.2,16.3,14.6,55.7,26.4,78.5,38.6,36.3,27.5,54.6
59.9,175.8,37.1,93.7,74.1,87.9,109.6,48.9,33.9,32.1,20.9,28.5,16.2,15.1,63.0,27.7,90.7,39.5,45.7,21.1,55.7
84.1,178.8,41.2,101.2,99.6,103.0,120.5,59.4,40.5,36.3,21.2,30.2,17.6,16.3,58.2,27.0,82.9,38.6,40.0,25.6,60.1
82.4,182.9,39.4,98.0,93.1,102.7,117.1,60.9,41.3,38.7,23.4,28.4,16.8,15.6,63.7,28.5,85.1,43.6,42.1,23.8,54.3
82.8,174.5,42.4,101.9,92.9,101.4,122.8,61.2,39.6,36.9,22.6,29.5,17.2,17.3,61.2,27.1,82.3,41.2,42.0,27.2,56.6
83.8,164.3,40.2,106.9,92.3,106.2,120.5,64.5,42.8,37.3,22.9,31.8,17.3,14.3,59.3,27.8,79.3,38.2,39.6,25.9,56.9
83.1,169.8,45.4,104.3,96.2,102.5,118.9,60.7,41.2,39.2,22.5,30.7,18.1,12.3,58.2,26.1,79.4,37.8,40.4,26.0,57.8
90.4,172.7,40.7,106.1,92.8,106.7,120.2,69.1,43.9,39.7,22.8,32.8,17.0,11.9,60.6,28.7,83.3,37.2,42.9,26.5,56.4
78.6,173.4,42.7,104.8,93.4,98.9,116.6,57.3,40.1,39.1,23.8,28.7,17.4,14.1,57.3,26.2,76.8,40.8,41.6,25.1,55.6
75.1,168.4,39.7,104.1,87.2,95.5,116.6,58.7,38.4,36.2,20.8,29.4,17.6,13.2,59.8,25.8,77.3,39.4,40.2,27.6,56.5
69.2,166.7,38.8,89.6,90.7,96.0,109.5,55.8,41.1,38.3,21.9,27.8,16.5,15.7,55.2,25.5,76.6,38.1,38.4,22.2,54.3
79.0,168.0,45.5,107.8,97.4,98.6,124.3,59.6,38.8,35.6,22.2,29.8,17.0,14.0,58.9,25.8,76.6,39.1,38.4,27.1,56.1
84.3,178.5,41.2,102.8,88.7,102.2,122.0,63.6,42.4,40.1,24.7,32.3,17.9,14.5,60.8,27.7,88.5,40.0,41.3,24.5,55.6
83.9,188.5,41.4,99.3,87.5,99.1,119.5,59.2,39.4,39.6,23.2,30.8,18.2,14.3,65.9,29.8,92.3,43.9,45.2,22.5,57.7
76.9,184.1,41.8,99.9,84.8,95.8,117.8,57.5,38.6,36.6,24.1,29.8,17.8,15.9,63.2,28.4,89.3,43.4,44.6,24.0,56.8
