_______________________________________________________________________________
Measurement          |Basic-Input     |Predicted-Input |3D Avatar-Output (δ%)
_______________________________________________________________________________
weight_kg            |82.0            |82.0            |84.7    (3.2  %) 
stature_cm           |170.0           |170.0           |169.8   (0.1  %) 
neck_base_girth      |0.0             |44.6            |44.4    (0.5  %) 
chest_girth          |108.0           |108.0           |107.5   (0.4  %) 
waist_girth          |95.0            |95.0            |94.7    (0.3  %) 
hips_buttock_girth   |103.0           |103.0           |101.6   (1.4  %) 
shoulder_girth       |126.0           |126.0           |125.1   (0.7  %) 
thigh_girth          |62.0            |62.0            |60.3    (2.8  %) 
thigh_low_girth      |0.0             |39.8            |39.7    (0.4  %) 
calf_girth           |0.0             |38.6            |38.4    (0.4  %) 
ankle_girth          |0.0             |22.4            |22.3    (0.4  %) 
forearm_girth        |0.0             |31.8            |31.3    (1.7  %) 
wrist_girth          |0.0             |18.0            |17.7    (1.5  %) 
shoulder_length      |0.0             |15.7            |15.6    (0.6  %) 
sleeveoutseam_length |61.0            |61.0            |60.2    (1.3  %) 
forearm_length       |0.0             |27.3            |27.0    (0.7  %) 
crotchheight_length  |77.5            |77.5            |77.9    (0.5  %) 
waistback_length     |51.0            |51.0            |50.1    (1.8  %) 
thigh_length         |0.0             |38.1            |38.2    (0.4  %) 
chest_depth_length   |0.0             |24.9            |25.2    (1.2  %) 
head_girth           |0.0             |57.5            |57.5    (0.1  %) 
_______________________________________________________________________________
