_______________________________________________________________________________
Measurement          |Basic-Input     |Predicted-Input |3D Avatar-Output (δ%)
_______________________________________________________________________________
weight_kg            |0.0             |79.4            |77.1    (2.9  %) 
stature_cm           |170.0           |170.0           |168.3   (1.0  %) 
neck_base_girth      |0.0             |42.1            |42.3    (0.6  %) 
chest_girth          |105.1           |105.1           |103.8   (1.2  %) 
waist_girth          |88.5            |88.5            |87.3    (1.4  %) 
hips_buttock_girth   |96.7            |96.7            |97.3    (0.6  %) 
shoulder_girth       |119.3           |119.3           |118.4   (0.8  %) 
thigh_girth          |60.5            |60.5            |59.8    (1.3  %) 
thigh_low_girth      |0.0             |39.5            |39.6    (0.1  %) 
calf_girth           |0.0             |38.4            |38.1    (0.7  %) 
ankle_girth          |0.0             |22.4            |22.2    (0.8  %) 
forearm_girth        |0.0             |30.7            |30.2    (1.6  %) 
wrist_girth          |0.0             |17.5            |17.3    (1.0  %) 
shoulder_length      |0.0             |15.1            |15.1    (0.4  %) 
sleeveoutseam_length |54.8            |54.8            |54.3    (0.9  %) 
forearm_length       |0.0             |24.6            |24.5    (0.4  %) 
crotchheight_length  |75.5            |75.5            |76.0    (0.7  %) 
waistback_length     |41.8            |41.8            |42.5    (1.7  %) 
thigh_length         |0.0             |39.3            |38.9    (0.9  %) 
chest_depth_length   |0.0             |25.3            |24.8    (2.2  %) 
head_girth           |0.0             |56.8            |57.0    (0.4  %) 
_______________________________________________________________________________
