code,weight_kg,stature_cm,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length
A1A,85.9,171.9,107.5,98.4,104.0,118.0,58.1,26.2,82.4,47.8
A1F,82.7,175.8,104.6,92.4,100.9,116.4,59.4,26.9,85.2,47.4
A1G,80.1,172.8,103.7,92.6,100.5,115.8,58.8,26.6,83.0,47.0
A1W,84.5,173.6,105.4,94.4,103.7,117.2,59.0,26.7,83.5,47.2
A2T,83.9,170.9,105.6,96.6,103.6,115.2,57.5,25.8,81.8,46.6
A3N,79.2,171.0,103.5,91.4,101.0,114.7,57.8,25.9,82.4,45.7
A3Q,89.6,174.5,109.0,99.2,105.9,117.9,58.7,26.5,83.1,48.4
A4C,83.1,172.2,105.7,94.5,102.0,116.6,57.6,25.9,82.5,46.8
A4D,85.3,173.7,106.6,96.4,103.9,116.2,58.6,26.4,83.0,47.7
A4F,86.0,178.2,105.2,93.6,102.7,117.3,60.1,27.1,85.8,47.9
A4G,91.0,177.3,108.7,98.0,105.6,119.7,60.4,27.3,85.3,47.4
A4Y,89.1,177.9,108.1,96.0,104.8,119.5,60.4,27.4,85.9,48.2
A5Q,91.4,175.9,111.1,99.1,105.1,120.7,59.8,26.9,84.9,48.1
A6D,90.1,174.4,110.2,100.5,105.6,118.8,58.0,25.9,82.8,48.8
A6G,76.6,169.2,101.6,89.0,99.6,112.8,57.1,25.6,81.0,46.2
A6T,75.0,167.9,100.4,88.7,100.4,111.4,55.9,25.1,79.4,45.2
A7D,71.0,167.1,96.8,85.7,100.8,107.8,55.9,25.0,80.8,43.8
A7U,78.4,175.1,102.3,87.9,98.8,116.5,59.0,26.7,84.7,47.0
A7V,87.8,171.4,109.4,99.6,104.0,118.5,57.5,26.0,82.0,47.7
A8Q,81.9,177.4,102.4,88.3,99.7,116.9,60.0,27.3,86.4,47.2
A8T,69.2,164.9,95.3,86.3,100.4,106.5,55.2,24.6,78.6,43.4
B0Q,78.3,173.1,101.9,90.3,99.5,113.9,57.9,25.9,82.8,46.0
B1F,81.6,173.2,104.5,93.2,102.2,114.8,58.3,26.1,82.9,47.1
B2A,80.0,174.7,102.2,89.9,100.3,115.4,59.0,26.4,84.1,46.7
B2F,75.8,173.3,100.1,87.5,98.5,113.1,58.6,26.5,84.1,46.3
B3C,70.1,170.3,95.7,83.1,96.5,109.6,58.1,26.2,83.2,44.6
B3Q,73.5,175.5,97.0,82.7,96.1,113.6,59.6,27.2,85.5,46.4
B4H,79.9,170.3,104.4,92.5,101.3,114.8,57.3,25.7,81.5,46.4
B4T,73.1,169.2,97.9,86.5,99.8,110.1,57.0,25.6,81.0,45.3
B5B,77.9,175.2,101.7,87.4,98.3,114.5,59.9,27.1,85.4,47.0
B5Q,66.9,167.5,94.6,81.6,96.4,106.6,56.1,25.0,80.0,43.7
B5V,88.4,179.4,107.3,94.7,102.8,120.1,60.6,27.2,86.7,48.9
B5Y,83.7,179.3,103.7,90.3,100.6,118.2,60.5,27.5,87.1,47.7
B6D,67.0,163.7,94.9,84.4,99.4,103.6,54.4,24.1,78.3,43.1
B6F,92.6,178.9,110.2,97.9,104.9,121.3,61.1,27.6,87.2,48.6
B6K,63.5,162.9,91.5,82.3,97.8,101.7,54.3,23.9,78.2,43.0
B6N,83.5,174.7,105.0,94.3,102.4,116.4,59.4,26.8,84.6,46.8
B6P,87.0,175.6,106.7,95.6,104.2,118.4,59.2,26.7,84.6,48.9
B7J,73.9,172.2,98.6,85.0,97.7,112.5,58.1,25.9,83.3,46.1
